identifier	added	reason
NCBITaxon:1305	2026-09-10	core rule: Streptococcus sanguinis, 7 sources incl. NCBI, 69 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:39791	2026-09-10	core rule: Corynebacterium glucuronolyticum, 7 sources incl. NCBI, 68 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:196	2026-09-10	core rule: Campylobacter fetus, 7 sources incl. NCBI, 67 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:529	2026-09-10	core rule: Brucella anthropi, 7 sources incl. NCBI, 67 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1824	2026-09-10	core rule: Nocardia asteroides, 7 sources incl. NCBI, 67 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:210	2026-09-10	core rule: Helicobacter pylori, 7 sources incl. NCBI, 66 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1613	2026-09-10	core rule: Limosilactobacillus fermentum, 7 sources incl. NCBI, 66 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:43675	2026-09-10	core rule: Rothia mucilaginosa, 7 sources incl. NCBI, 66 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:84112	2026-09-10	core rule: Eggerthella lenta, 7 sources incl. NCBI, 66 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1590	2026-09-10	core rule: Lactiplantibacillus plantarum, 7 sources incl. NCBI, 64 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1478	2026-09-10	core rule: Peribacillus simplex, 7 sources incl. NCBI, 63 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:29385	2026-09-10	core rule: Staphylococcus saprophyticus, 7 sources incl. NCBI, 63 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1303	2026-09-10	core rule: Streptococcus oralis, 7 sources incl. NCBI, 62 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1311	2026-09-10	core rule: Streptococcus agalactiae, 7 sources incl. NCBI, 62 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:24	2026-09-10	core rule: Shewanella putrefaciens, 7 sources incl. NCBI, 60 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1404	2026-09-10	core rule: Priestia megaterium, 7 sources incl. NCBI, 60 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1488	2026-09-10	core rule: Clostridium acetobutylicum, 7 sources incl. NCBI, 59 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1597	2026-09-10	core rule: Lacticaseibacillus paracasei, 7 sources incl. NCBI, 59 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1290	2026-09-10	core rule: Staphylococcus hominis, 7 sources incl. NCBI, 55 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1302	2026-09-10	core rule: Streptococcus gordonii, 7 sources incl. NCBI, 54 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1358	2026-09-10	core rule: Lactococcus lactis, 7 sources incl. NCBI, 54 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1504	2026-09-10	core rule: Clostridium septicum, 7 sources incl. NCBI, 53 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:28264	2026-09-10	core rule: Arcanobacterium haemolyticum, 7 sources incl. NCBI, 53 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1283	2026-09-10	core rule: Staphylococcus haemolyticus, 7 sources incl. NCBI, 52 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:584	2026-09-10	core rule: Proteus mirabilis, 7 sources incl. NCBI, 49 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:74426	2026-09-10	core rule: Collinsella aerofaciens, 7 sources incl. NCBI, 49 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1661	2026-09-10	core rule: Trueperella pyogenes, 7 sources incl. NCBI, 48 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1309	2026-09-10	core rule: Streptococcus mutans, 7 sources incl. NCBI, 47 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1886	2026-09-10	core rule: Streptomyces albidoflavus, 7 sources incl. NCBI, 47 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:670	2026-09-10	core rule: Vibrio parahaemolyticus, 7 sources incl. NCBI, 46 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1464	2026-09-10	core rule: Paenibacillus larvae, 7 sources incl. NCBI, 46 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:198	2026-09-10	core rule: Campylobacter hyointestinalis, 7 sources incl. NCBI, 45 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1393	2026-09-10	core rule: Brevibacillus brevis, 7 sources incl. NCBI, 45 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:28035	2026-09-10	core rule: Staphylococcus lugdunensis, 7 sources incl. NCBI, 45 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:753	2026-09-10	core rule: Pasteurella canis, 7 sources incl. NCBI, 44 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1624	2026-09-10	core rule: Ligilactobacillus salivarius, 7 sources incl. NCBI, 43 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:38304	2026-09-10	core rule: Corynebacterium tuberculostearicum, 7 sources incl. NCBI, 43 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:490	2026-09-10	core rule: Neisseria sicca, 7 sources incl. NCBI, 42 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:33889	2026-09-10	core rule: Brevibacterium casei, 7 sources incl. NCBI, 42 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:571	2026-09-10	core rule: Klebsiella oxytoca, 7 sources incl. NCBI, 41 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1580	2026-09-10	core rule: Levilactobacillus brevis, 7 sources incl. NCBI, 41 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:13689	2026-09-10	core rule: Sphingomonas paucimobilis, 7 sources incl. NCBI, 41 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:106590	2026-09-10	core rule: Cupriavidus necator, 7 sources incl. NCBI, 41 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:488	2026-09-10	core rule: Neisseria mucosa, 7 sources incl. NCBI, 40 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1255	2026-09-10	core rule: Pediococcus pentosaceus, 7 sources incl. NCBI, 40 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1559	2026-09-10	core rule: Clostridium tertium, 7 sources incl. NCBI, 40 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:38284	2026-09-10	core rule: Corynebacterium accolens, 7 sources incl. NCBI, 40 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1919	2026-09-10	core rule: Streptomyces microflavus, 7 sources incl. NCBI, 39 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:285	2026-09-10	core rule: Comamonas testosteroni, 7 sources incl. NCBI, 37 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:731	2026-09-10	core rule: Histophilus somni, 7 sources incl. NCBI, 37 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:37637	2026-09-10	core rule: Corynebacterium pseudodiphtheriticum, 7 sources incl. NCBI, 37 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:554	2026-09-10	core rule: Pectobacterium carotovorum, 7 sources incl. NCBI, 36 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:633	2026-09-10	core rule: Yersinia pseudotuberculosis, 7 sources incl. NCBI, 36 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:1659	2026-09-10	core rule: Actinomyces israelii, 7 sources incl. NCBI, 36 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:206	2026-09-10	core rule: Campylobacter sputorum, 7 sources incl. NCBI, 34 BacDive strains, LPSN correct name with type strain, GTDB mapping
NCBITaxon:47715	2026-09-12	attested rule: Lacticaseibacillus rhamnosus, 8 sources incl. NCBI
NCBITaxon:1211807	2026-09-12	attested rule: Stutzerimonas kunmingensis, 8 sources incl. NCBI
NCBITaxon:43767	2026-09-12	attested rule: Prescottella equi, 8 sources incl. NCBI
NCBITaxon:47770	2026-09-12	attested rule: Lactobacillus crispatus, 8 sources incl. NCBI
NCBITaxon:1598	2026-09-12	attested rule: Limosilactobacillus reuteri, 8 sources incl. NCBI
NCBITaxon:2026	2026-09-12	attested rule: Thermoactinomyces vulgaris, 8 sources incl. NCBI
NCBITaxon:34059	2026-09-12	attested rule: Faucicola atlantae, 8 sources incl. NCBI
NCBITaxon:59561	2026-09-12	attested rule: Trueperella bernardiae, 8 sources incl. NCBI
NCBITaxon:65058	2026-09-12	attested rule: Corynebacterium ulcerans, 8 sources incl. NCBI
NCBITaxon:80878	2026-09-12	attested rule: Acidovorax temperans, 8 sources incl. NCBI
NCBITaxon:147802	2026-09-12	attested rule: Lactobacillus iners, 8 sources incl. NCBI
NCBITaxon:498	2026-09-12	attested rule: Psychrobacter immobilis, 8 sources incl. NCBI
NCBITaxon:1254	2026-09-12	attested rule: Pediococcus acidilactici, 8 sources incl. NCBI
NCBITaxon:1935	2026-09-12	attested rule: Streptomyces violaceoruber, 8 sources incl. NCBI
NCBITaxon:33028	2026-09-12	attested rule: Staphylococcus saccharolyticus, 8 sources incl. NCBI
NCBITaxon:29391	2026-09-12	attested rule: Gemella morbillorum, 8 sources incl. NCBI
NCBITaxon:654	2026-09-12	attested rule: Aeromonas veronii, 8 sources incl. NCBI
NCBITaxon:1520	2026-09-12	attested rule: Clostridium beijerinckii, 8 sources incl. NCBI
NCBITaxon:1930	2026-09-12	attested rule: Streptomyces scabiei, 8 sources incl. NCBI
NCBITaxon:29388	2026-09-12	attested rule: Staphylococcus capitis, 8 sources incl. NCBI
NCBITaxon:47760	2026-09-12	attested rule: Streptomyces aurantiacus, 8 sources incl. NCBI
NCBITaxon:55565	2026-09-12	attested rule: Actinomyces graevenitzii, 8 sources incl. NCBI
NCBITaxon:817	2026-09-12	attested rule: Bacteroides fragilis, 8 sources incl. NCBI
NCBITaxon:1710	2026-09-12	attested rule: Cellulosimicrobium cellulans, 8 sources incl. NCBI
NCBITaxon:1829	2026-09-12	attested rule: Rhodococcus rhodochrous, 8 sources incl. NCBI
NCBITaxon:544580	2026-09-12	attested rule: Actinomyces oris, 8 sources incl. NCBI
NCBITaxon:1377	2026-09-12	attested rule: Aerococcus viridans, 8 sources incl. NCBI
NCBITaxon:1570	2026-09-12	attested rule: Halobacillus halophilus, 8 sources incl. NCBI
NCBITaxon:29332	2026-09-12	attested rule: Domibacillus aminovorans, 8 sources incl. NCBI
NCBITaxon:442	2026-09-12	attested rule: Gluconobacter oxydans, 8 sources incl. NCBI
NCBITaxon:755	2026-09-12	attested rule: Avibacterium gallinarum, 8 sources incl. NCBI
NCBITaxon:420404	2026-09-12	attested rule: Epilithonimonas hominis, 8 sources incl. NCBI
NCBITaxon:1296	2026-09-12	attested rule: Mammaliicoccus sciuri, 8 sources incl. NCBI
NCBITaxon:1307	2026-09-12	attested rule: Streptococcus suis, 8 sources incl. NCBI
NCBITaxon:28141	2026-09-12	attested rule: Cronobacter sakazakii, 8 sources incl. NCBI
NCBITaxon:28197	2026-09-12	attested rule: Aliarcobacter butzleri, 8 sources incl. NCBI
NCBITaxon:66228	2026-09-12	attested rule: Gleimia europaea, 8 sources incl. NCBI
NCBITaxon:119206	2026-09-12	attested rule: Aerococcus sanguinicola, 8 sources incl. NCBI
NCBITaxon:1334	2026-09-12	attested rule: Streptococcus dysgalactiae, 8 sources incl. NCBI
NCBITaxon:1587	2026-09-12	attested rule: Lactobacillus helveticus, 8 sources incl. NCBI
NCBITaxon:1604	2026-09-12	attested rule: Lactobacillus amylovorus, 8 sources incl. NCBI
NCBITaxon:1625	2026-09-12	attested rule: Fructilactobacillus sanfranciscensis, 8 sources incl. NCBI
NCBITaxon:1767	2026-09-12	attested rule: Mycobacterium intracellulare, 8 sources incl. NCBI
NCBITaxon:1828	2026-09-12	attested rule: Rhodococcoides fascians, 8 sources incl. NCBI
NCBITaxon:2035	2026-09-12	attested rule: Curtobacterium flaccumfaciens, 8 sources incl. NCBI
NCBITaxon:67855	2026-09-12	attested rule: Muribacter muris, 8 sources incl. NCBI
NCBITaxon:86665	2026-09-12	attested rule: Halalkalibacterium halodurans, 8 sources incl. NCBI
NCBITaxon:48	2026-09-12	attested rule: Archangium gephyra, 8 sources incl. NCBI
NCBITaxon:495	2026-09-12	attested rule: Neisseria elongata, 8 sources incl. NCBI
NCBITaxon:1286	2026-09-12	attested rule: Staphylococcus simulans, 8 sources incl. NCBI
NCBITaxon:1718	2026-09-12	attested rule: Corynebacterium glutamicum, 8 sources incl. NCBI
NCBITaxon:1766	2026-09-12	attested rule: Mycolicibacterium fortuitum, 8 sources incl. NCBI
NCBITaxon:28038	2026-09-12	attested rule: Latilactobacillus curvatus, 8 sources incl. NCBI
NCBITaxon:156979	2026-09-12	attested rule: Pseudoglutamicibacter cumminsii, 8 sources incl. NCBI
NCBITaxon:1422	2026-09-12	attested rule: Geobacillus stearothermophilus, 8 sources incl. NCBI
NCBITaxon:1582	2026-09-12	attested rule: Lacticaseibacillus casei, 8 sources incl. NCBI
NCBITaxon:1583	2026-09-12	attested rule: Weissella confusa, 8 sources incl. NCBI
NCBITaxon:1823	2026-09-12	attested rule: Nocardia otitidiscaviarum, 8 sources incl. NCBI
NCBITaxon:34073	2026-09-12	attested rule: Variovorax paradoxus, 8 sources incl. NCBI
NCBITaxon:86667	2026-09-12	attested rule: Jeotgalibacillus marinus, 8 sources incl. NCBI
NCBITaxon:321318	2026-09-12	attested rule: Dietzia cinnamea, 8 sources incl. NCBI
NCBITaxon:674	2026-09-12	attested rule: Vibrio mimicus, 8 sources incl. NCBI
NCBITaxon:720	2026-09-12	attested rule: Actinobacillus lignieresii, 8 sources incl. NCBI
NCBITaxon:1340	2026-09-12	attested rule: Streptococcus porcinus, 8 sources incl. NCBI
NCBITaxon:1622	2026-09-12	attested rule: Ligilactobacillus murinus, 8 sources incl. NCBI
NCBITaxon:1681	2026-09-12	attested rule: Bifidobacterium bifidum, 8 sources incl. NCBI
NCBITaxon:29382	2026-09-12	attested rule: Staphylococcus cohnii, 8 sources incl. NCBI
NCBITaxon:33018	2026-09-12	attested rule: Sporolactobacillus laevolacticus, 8 sources incl. NCBI
NCBITaxon:71999	2026-09-12	attested rule: Kocuria palustris, 8 sources incl. NCBI
NCBITaxon:82380	2026-09-12	attested rule: Microbacterium oxydans, 8 sources incl. NCBI
NCBITaxon:102684	2026-09-12	attested rule: Streptococcus infantarius, 8 sources incl. NCBI
NCBITaxon:1260	2026-09-12	attested rule: Finegoldia magna, 8 sources incl. NCBI
NCBITaxon:1725	2026-09-12	attested rule: Corynebacterium xerosis, 8 sources incl. NCBI
NCBITaxon:1892	2026-09-12	attested rule: Streptomyces anulatus, 8 sources incl. NCBI
NCBITaxon:33968	2026-09-12	attested rule: Leuconostoc pseudomesenteroides, 8 sources incl. NCBI
NCBITaxon:47714	2026-09-12	attested rule: Lacticaseibacillus paracasei subsp. paracasei, 8 sources incl. NCBI
NCBITaxon:190721	2026-09-12	attested rule: Ralstonia insidiosa, 8 sources incl. NCBI
NCBITaxon:271160	2026-09-12	attested rule: Nicoletella semolina, 8 sources incl. NCBI
NCBITaxon:1531	2026-09-12	attested rule: Enterocloster clostridioformis, 8 sources incl. NCBI
NCBITaxon:1938	2026-09-12	attested rule: Streptomyces viridochromogenes, 8 sources incl. NCBI
NCBITaxon:2055	2026-09-12	attested rule: Gordonia terrae, 8 sources incl. NCBI
NCBITaxon:2751	2026-09-12	attested rule: Carnobacterium maltaromaticum, 8 sources incl. NCBI
NCBITaxon:35619	2026-09-12	attested rule: Streptomyces griseoflavus, 8 sources incl. NCBI
NCBITaxon:57706	2026-09-12	attested rule: Citrobacter braakii, 8 sources incl. NCBI
NCBITaxon:79885	2026-09-12	attested rule: Alkalihalophilus pseudofirmus, 8 sources incl. NCBI
NCBITaxon:354	2026-09-12	attested rule: Azotobacter vinelandii, 8 sources incl. NCBI
NCBITaxon:438	2026-09-12	attested rule: Acetobacter pasteurianus, 8 sources incl. NCBI
NCBITaxon:823	2026-09-12	attested rule: Parabacteroides distasonis, 8 sources incl. NCBI
NCBITaxon:851	2026-09-12	attested rule: Fusobacterium nucleatum, 8 sources incl. NCBI
NCBITaxon:1363	2026-09-12	attested rule: Lactococcus garvieae, 8 sources incl. NCBI
NCBITaxon:29363	2026-09-12	attested rule: Clostridium paraputrificum, 8 sources incl. NCBI
NCBITaxon:33885	2026-09-12	attested rule: Microbacterium lacticum, 8 sources incl. NCBI
NCBITaxon:45972	2026-09-12	attested rule: Staphylococcus pasteuri, 8 sources incl. NCBI
NCBITaxon:53374	2026-09-12	attested rule: Corynebacterium coyleae, 8 sources incl. NCBI
NCBITaxon:66881	2026-09-12	attested rule: Streptomyces cremeus, 8 sources incl. NCBI
NCBITaxon:68895	2026-09-12	attested rule: Cupriavidus basilensis, 8 sources incl. NCBI
NCBITaxon:283734	2026-09-12	attested rule: Staphylococcus pseudintermedius, 8 sources incl. NCBI
NCBITaxon:353	2026-09-12	attested rule: Azotobacter chroococcum, 8 sources incl. NCBI
NCBITaxon:476	2026-09-12	attested rule: Moraxella bovis, 8 sources incl. NCBI
NCBITaxon:726	2026-09-12	attested rule: Haemophilus haemolyticus, 8 sources incl. NCBI
NCBITaxon:1640	2026-09-12	attested rule: Listeria seeligeri, 8 sources incl. NCBI
NCBITaxon:28447	2026-09-12	attested rule: Clavibacter michiganensis, 8 sources incl. NCBI
NCBITaxon:29466	2026-09-12	attested rule: Veillonella parvula, 8 sources incl. NCBI
NCBITaxon:29497	2026-09-12	attested rule: Vibrio splendidus, 8 sources incl. NCBI
NCBITaxon:33964	2026-09-12	attested rule: Leuconostoc citreum, 8 sources incl. NCBI
NCBITaxon:39950	2026-09-12	attested rule: Dialister pneumosintes, 8 sources incl. NCBI
NCBITaxon:143495	2026-09-12	attested rule: Aneurinibacillus thermoaerophilus, 8 sources incl. NCBI
NCBITaxon:575	2026-09-12	attested rule: Klebsiella planticola, 8 sources incl. NCBI
NCBITaxon:1281	2026-09-12	attested rule: Staphylococcus carnosus, 8 sources incl. NCBI
NCBITaxon:1295	2026-09-12	attested rule: Staphylococcus schleiferi, 8 sources incl. NCBI
NCBITaxon:1589	2026-09-12	attested rule: Lactiplantibacillus pentosus, 8 sources incl. NCBI
NCBITaxon:1841	2026-09-12	attested rule: Nocardioides albus, 8 sources incl. NCBI
NCBITaxon:2014	2026-09-12	attested rule: Nocardiopsis dassonvillei, 8 sources incl. NCBI
NCBITaxon:40041	2026-09-12	attested rule: Streptococcus equi subsp. zooepidemicus, 8 sources incl. NCBI
NCBITaxon:44253	2026-09-12	attested rule: Paenibacillus validus, 8 sources incl. NCBI
NCBITaxon:82367	2026-09-12	attested rule: Paracoccus pantotrophus, 8 sources incl. NCBI
NCBITaxon:111806	2026-09-12	attested rule: Thermomonospora umbrina, 8 sources incl. NCBI
NCBITaxon:131110	2026-09-12	attested rule: Schaalia radingae, 8 sources incl. NCBI
NCBITaxon:158850	2026-09-12	attested rule: Providencia rustigianii, 8 sources incl. NCBI
NCBITaxon:571256	2026-09-12	attested rule: Brucella pituitosa, 8 sources incl. NCBI
NCBITaxon:1329	2026-09-12	attested rule: Streptococcus canis, 8 sources incl. NCBI
NCBITaxon:1373	2026-09-12	attested rule: Planococcus citreus, 8 sources incl. NCBI
NCBITaxon:1456	2026-09-12	attested rule: Bacillus benzoevorans, 8 sources incl. NCBI
NCBITaxon:1638	2026-09-12	attested rule: Listeria ivanovii, 8 sources incl. NCBI
NCBITaxon:1719	2026-09-12	attested rule: Corynebacterium pseudotuberculosis, 8 sources incl. NCBI
NCBITaxon:1724	2026-09-12	attested rule: Corynebacterium renale, 8 sources incl. NCBI
NCBITaxon:1944	2026-09-12	attested rule: Streptomyces halstedii, 8 sources incl. NCBI
NCBITaxon:33959	2026-09-12	attested rule: Lactobacillus johnsonii, 8 sources incl. NCBI
NCBITaxon:37482	2026-09-12	attested rule: Laceyella sacchari, 8 sources incl. NCBI
NCBITaxon:38286	2026-09-12	attested rule: Corynebacterium afermentans, 8 sources incl. NCBI
NCBITaxon:38290	2026-09-12	attested rule: Corynebacterium macginleyi, 8 sources incl. NCBI
